state	Year	tax_state	tax_revenue	tax_dollar	sales_per_capita	tax_percent	cost_per_pack	index	price_cpi
Alabama	1970	0.12	36739131	0.2	89.8	46.8	0.427	38.825	2.3975788795878943
Alabama	1971	0.12	39490694	0.2	95.4	47.3	0.423	40.49166666666667	2.277357480963161
Alabama	1972	0.12	42198422	0.2	101.1	47.5	0.421	41.81666666666666	2.1947708250298925
Alabama	1973	0.12	43328876	0.2	102.9	46.4	0.431	44.4	2.116171171171171
Alabama	1974	0.12	45943402	0.2	108.2	42.9	0.466	49.30833333333334	2.0602602670272097
Alabama	1975	0.12	47956285	0.2	111.7	39.7	0.504	53.81666666666667	2.041598017962217
Alabama	1976	0.12	50409197	0.2	116.2	39.9	0.501	56.90833333333333	1.9191916825303852
Alabama	1977	0.12	51516608	0.2	117.1	36.3	0.551	60.608333333333334	1.9818726797745085
Alabama	1978	0.12	54460929	0.2	123	35.2	0.568	65.23333333333333	1.8981706693919262
Alabama	1979	0.12	54496057	0.2	121.4	33.3	0.606	72.575	1.8202962452635203
Alabama	1980	0.12	55701205	0.24	123.2	34.9	0.688	82.40833333333333	1.8200101122459298
Alabama	1981	0.16	72852874	0.24	119.6	32.8	0.731	90.925	1.7526312895243332
Alabama	1982	0.16	74641962	0.24	119.1	38.4	0.844	96.5	1.9066528497409325
Alabama	1983	0.16	73371489	0.32	116.3	35.2	0.908	99.6	1.987389558232932
Alabama	1984	0.16	72144256	0.325	113	32.8	0.99	103.88333333333333	2.077522862185144
Alabama	1985	0.165	76693928	0.325	114.5	31.6	1.03	107.56666666666666	2.087449643631856
Alabama	1986	0.165	77175083	0.325	116.3	29.6	1.1	109.60833333333333	2.187789857827112
Alabama	1987	0.165	77097672	0.325	114	28.5	1.144	113.625	2.1948690869086906
Alabama	1988	0.165	76529290	0.325	112.1	26.6	1.223	118.25833333333333	2.2545049679374256
Alabama	1989	0.165	74959156	0.325	105.6	23.4	1.391	123.96666666666667	2.4461253025006724
Alabama	1990	0.165	74656216	0.325	108.6	22.5	1.444	130.65833333333333	2.409276101792206
Alabama	1991	0.165	73585654	0.365	107.9	21.2	1.722	136.19166666666666	2.7563801015725384
Alabama	1992	0.165	73149118	0.365	109.1	20.7	1.762	140.31666666666666	2.737493764105001
Alabama	1993	0.165	72619924	0.405	108.5	26.2	1.546	144.45833333333334	2.333046437842515
Alabama	1994	0.165	72324900	0.405	107.1	26.1	1.551	148.225	2.281113172541744
Alabama	1995	0.165	70450119	0.405	102.6	25.6	1.583	152.38333333333333	2.264643989937657
Alabama	1996	0.165	70950600	0.405	101.4	24.2	1.674	156.85	2.3266305387312722
Alabama	1997	0.165	73953302	0.405	104.9	22.4	1.805	160.51666666666665	2.45139653203198
Alabama	1998	0.165	74878439	0.405	106.2	20.7	1.956	163.00833333333333	2.6158662645059043
Alabama	1999	0.165	71844367	0.405	100.7	15	2.707	166.575	3.5427044874681073
Alabama	2000	0.165	70664938	0.505	96.2	17.5	2.884	172.2	3.6510569105691055
Alabama	2001	0.165	66373279	0.505	90.5	15.6	3.23	177.06666666666666	3.976694277108434
Alabama	2002	0.165	62450667	0.555	84.8	16.9	3.282	179.875	3.977628908964559
Alabama	2003	0.165	61161426	0.555	82.2	17.2	3.234	183.95833333333334	3.832454813137033
Alabama	2004	0.425	71463596	0.815	87.9	22.8	3.569	188.88333333333333	4.119167034324539
Alabama	2005	0.425	158457030	0.815	82.4	22.9	3.56	195.29166666666666	3.973953488372093
Alabama	2006	0.425	161434908	0.815	83.3	23.1	3.535	201.59166666666667	3.8227274606258526
Alabama	2007	0.425	156820995	0.815	80.2	21.7	3.759	207.34241666666668	3.952215919800941
Alabama	2008	0.425	153461159	0.815	78	21.7	3.752	215.3025	3.7990083719418024
Alabama	2009	0.425	149746028	1.435	75.6	31.6	4.548	214.537	4.621412623463551
Alabama	2010	0.425	143144386	1.435	71.5	30.4	4.726	218.0555	4.724797127336847
Alabama	2011	0.425	138999738	1.435	68.4	29.6	4.845	224.93916666666667	4.695536200528291
Alabama	2012	0.425	137207735	1.435	67.2	29.6	4.841	229.59391666666667	4.596541647626407
Alabama	2013	0.425	132215587	1.435	64.6	29	4.942	232.95708333333334	4.624697324435653
Alabama	2014	0.425	126853195	1.435	61.7	28.1	5.102	236.73616666666666	4.698209047061533
Alabama	2015	0.425	125105125	1.685	60.7	31.8	5.305	237.017	4.879354645447373
Alabama	2016	0.675	163948123	1.685	60.1	31.1	5.41	240.00716666666668	4.913936597726596
Alabama	2017	0.675	180386973	1.685	58.1	30.9	5.452	245.11958333333334	4.8488006704210695
Alabama	2018	0.675	172649066	1.685	54.7	30.4	5.55	251.10683333333333	4.818267921820792
Alaska	1970	0.08	2737000	0.16	121.3	38.3	0.418	38.825	2.347044430135222
Alaska	1971	0.08	2996000	0.16	123	38	0.421	40.49166666666667	2.2665898332990326
Alaska	1972	0.08	3255000	0.16	130	38.1	0.42	41.81666666666666	2.189557592666401
Alaska	1973	0.08	3274000	0.16	125.8	36.5	0.438	44.4	2.1505405405405407
Alaska	1974	0.08	3444000	0.16	130.4	35.6	0.449	49.30833333333334	1.9851005577150582
Alaska	1975	0.08	4056000	0.16	150.4	33.1	0.483	53.81666666666667	1.956531433880458
Alaska	1976	0.08	4649000	0.16	164.8	31.1	0.515	56.90833333333333	1.9728217894274418
Alaska	1977	0.08	4868000	0.16	159.3	28.4	0.563	60.608333333333334	2.0250350611852053
Alaska	1978	0.08	4676000	0.16	143.6	28	0.571	65.23333333333333	1.9081962187020949
Alaska	1979	0.08	4451000	0.16	138.1	26.3	0.609	72.575	1.8293076128143297
Alaska	1980	0.08	4351000	0.16	134	25.2	0.635	82.40833333333333	1.6798058448781477
Alaska	1981	0.08	4607000	0.16	144	22	0.728	90.925	1.7454385482540555
Alaska	1982	0.08	4888000	0.16	148.3	18.6	0.86	96.5	1.94279792746114
Alaska	1983	0.08	5148000	0.24	146.9	24.9	0.962	99.6	2.105582329317269
Alaska	1984	0.08	5341000	0.24	133.6	23.4	1.027	103.88333333333333	2.1551676560243864
Alaska	1985	0.08	5395000	0.32	128.9	29.1	1.1	107.56666666666666	2.2293151533932445
Alaska	1986	0.16	8191000	0.32	126.3	26.3	1.215	109.60833333333333	2.4165133429635826
Alaska	1987	0.16	9503000	0.32	110.4	25.6	1.254	113.625	2.405914191419142
Alaska	1988	0.16	8865000	0.32	80	23	1.394	118.25833333333333	2.5697301106335
Alaska	1989	0.16	8130515	0.45	94.4	26.4	1.702	123.96666666666667	2.9930303845119655
Alaska	1990	0.16	13450527	0.45	100.2	22.3	2.017	130.65833333333333	3.365311563237451
Alaska	1991	0.29	16377954	0.49	101.8	23.6	2.073	136.19166666666666	3.3182206449244322
Alaska	1992	0.29	15812651	0.49	98.5	22.4	2.191	140.31666666666666	3.4040004751158093
Alaska	1993	0.29	15321090	0.54	95.2	26.9	2.009	144.45833333333334	3.0317531006633973
Alaska	1994	0.29	15548000	0.53	94.1	25.2	2.014	148.225	2.9620644290774156
Alaska	1995	0.29	15752759	0.53	89.5	24.9	2.125	152.38333333333333	3.040030624521492
Alaska	1996	0.29	15907733	0.53	89.9	24.7	2.144	156.85	2.979866114121773
Alaska	1997	0.29	14379771	1.24	81.7	41.8	2.97	160.51666666666665	4.033599833869796
Alaska	1998	0.29	28431309	1.24	78.6	37.9	3.276	163.00833333333333	4.381174786565103
Alaska	1999	1	42915000	1.24	70.5	30.6	4.047	166.575	5.296389013957676
Alaska	2000	1	43091506	1.34	66	30.5	4.397	172.2	5.566469221835076
Alaska	2001	1	40893899	1.34	65.2	30.2	4.433	177.06666666666666	5.4577974397590365
Alaska	2002	1	40434020	1.39	63.7	30.3	4.591	179.875	5.564075052119528
Alaska	2003	1	40239153	1.39	63.6	31.5	4.415	183.95833333333334	5.232
Alaska	2004	1	41260582	1.39	63.6	27.6	5.03	188.88333333333333	5.805382511250332
Alaska	2005	1.6	48750294	1.99	60.2	35.5	5.61	195.29166666666666	6.262325581395349
Alaska	2006	1.6	57910992	2.19	54.5	37.6	5.819	201.59166666666667	6.292631143813814
Alaska	2007	1.8	63849816	2.39	52.9	37.6	6.351	207.34241666666668	6.6774470089533855
Alaska	2008	2	64193492	2.39	47	35.7	6.69	215.3025	6.77381823248685
Alaska	2009	2	62882219	3.01	45.8	39.6	7.605	214.537	7.7277579158839735
Alaska	2010	2	61237633	3.01	43.8	39.6	7.607	218.0555	7.605063848423911
Alaska	2011	2	61478147	3.01	43.3	35.4	8.494	224.93916666666667	8.23196790243288
Alaska	2012	2	59586835	3.01	41.2	36.3	8.3	229.59391666666667	7.8808708273702095
Alaska	2013	2	56983372	3.01	39	34.8	8.659	232.95708333333334	8.103046161936122
Alaska	2014	2	54624390	3.01	37.2	33.8	8.901	236.73616666666666	8.196542283005625
Alaska	2015	2	52702165	3.01	35.8	33.4	9.018	237.017	8.294443014636082
Alaska	2016	2	52573488	3.01	35.6	33.4	9.013	240.00716666666668	8.18656387343989
Alaska	2017	2	48857026	3.01	32.9	32.5	9.253	245.11958333333334	8.229264967609346
Alaska	2018	2	46021896	3.01	31.1	32.1	9.37	251.10683333333333	8.134625302245192
Arizona	1970	0.1	19510371	0.18	115.2	46.7	0.385	38.825	2.161751448808757
Arizona	1971	0.1	19640088	0.18	109.6	47.4	0.38	40.49166666666667	2.0458530561844
Arizona	1972	0.1	23116211	0.18	125	46.5	0.387	41.81666666666666	2.017520924671184
Arizona	1973	0.1	24963408	0.18	128.3	45.9	0.392	44.4	1.9246846846846848
Arizona	1974	0.1	27387025	0.21	133.1	44	0.477	49.30833333333334	2.108893020111543
Arizona	1975	0.13	34513342	0.21	121.8	42.8	0.491	53.81666666666667	1.9889377516258901
Arizona	1976	0.13	35349459	0.21	122.3	43.1	0.487	56.90833333333333	1.8655615756333284
Arizona	1977	0.13	35910542	0.21	121.7	39.2	0.536	60.608333333333334	1.9279197030111372
Arizona	1978	0.13	37232113	0.21	124.7	35.8	0.586	65.23333333333333	1.958323965252938
Arizona	1979	0.13	38135772	0.21	124.6	34.5	0.608	72.575	1.8263038236307267
Arizona	1980	0.13	40387868	0.21	126.8	33.2	0.633	82.40833333333333	1.6745151178076652
Arizona	1981	0.13	40210749	0.21	113.8	28.6	0.733	90.925	1.7574264503711852
Arizona	1982	0.13	41240299	0.21	113.5	26.1	0.805	96.5	1.8185492227979276
Arizona	1983	0.13	41322538	0.29	111.1	31.3	0.928	99.6	2.0311646586345384
Arizona	1984	0.13	42047774	0.31	107.1	31.4	0.988	103.88333333333333	2.0733258463019415
